ref,model,prompt_version,book_osis,chapter,verse_start,verse_end,kjv_text,cuv_text,final_en,final_zh,has_commentary,keep_drop,notes,status,cited_para_ids
1Cor 3:15,gpt-5,v1,1Cor,3,15,15,,人的工程若被燒了，他就要受虧損，自己卻要得救；雖然得救，乃像從火裏經過的一樣。,"Affirms that at the public last judgment believers’ works will be tested. Even if a believer’s works are disapproved and burned, the person is still saved (1 Cor 3:15). The judgment of works serves God’s public vindication and demonstrates the defeat of sin and the reality of righteousness (faith, works, sanctification). Works also function as the measure of gracious reward (cf. 1 Cor 3:8,14), and are viewed organically, rooted in faith.","指出末日审判是公开的，对信徒的行为也要试验。即使信徒的“工程被烧”，人仍得救（林前3:15）。审判工作的目的在于为神作公开的申冤，显明罪被废除与生命中之义（包括信心、在基督里所行的工、成圣）。工作也是恩典赏赐的尺度（参林前3:8,14），并被视为出于信心的有机整体，而非机械记账。",1,,,ok,[191]
1Cor 4:3,gpt-5,v1,1Cor,4,3,3,,我被你們論斷，或被別人論斷，我都以為極小的事；連我自己也不論斷自己。,"The paragraph notes that in New Testament usage “the day” is often associated with judgment and can function as a synonym for judgment. 1 Corinthians 4:3 is cited as an example of this usage, where Paul’s phrase rendered “man’s judgment” reflects the idiom of “day” meaning a judicial evaluation.",该段指出，新约中“那日/主的日子”常与审判相关，几乎成为“审判”的同义词。林前4:3被作为此用法的例证：保罗所说“人的审判”（可理解为“人的日子”）体现“日子”用来表示审判/裁判的语义。,1,,,ok,[166]
1Cor 4:3-5,gpt-5,v1,1Cor,4,3,5,,我被你們論斷，或被別人論斷，我都以為極小的事；連我自己也不論斷自己。,"The excerpt uses 1 Corinthians 4:3-5 as a proof-text that, in New Testament eschatology, God is the judge in the final, definite judgment associated with Christ’s parousia. It situates Paul’s statement “the Lord judges me” within the broader NT theme that judgment belongs to God (and also, in other texts, to Christ).",该段将林前4:3-5用作证据，表明新约末世论认为最终审判是在主再来时发生的、由神施行的定案式审判。作者把保罗“判断我的乃是主”的话置于新约更广的主题中：审判属于神（并且在其他经文中也归于基督）。,1,,,ok,[190]
1Cor 4:5,gpt-5,v1,1Cor,4,5,5,,所以，時候未到，甚麼都不要論斷，只等主來，他要照出暗中的隱情，顯明人心的意念。那時，各人要從神那裏得着稱讚。,"The excerpt uses 1 Corinthians 4:5 to support that at the final judgment even believers’ works will be evaluated. The last judgment is not nullified by justification; rather, it is a public assize that vindicates God, revealing and assessing works and motives, with the possibility of disapproval of some works yet salvation, and with gracious reward measured according to works rooted in faith. This coheres with 4:5’s theme that the Lord will bring hidden things to light and then each will receive praise from God.",该段引用林前4:5强调：末日审判将临到所有人，连信徒的行为也要受审察。因称义并不使末日审判多余；审判是公开的，为彰显神的公义，要显露隐情、察验动机与行为。即便有些行为被否定，信徒仍得救；赏赐是出于恩典且与信心所结出的“工作”相关。这与4:5所说主来时显明隐情、显露人心意念，并使各人从神得称赞相一致。,1,,,ok,[191]
1Cor 4:20,gpt-5,v1,1Cor,4,20,20,,因為神的國不在乎言語，乃在乎權能。,"Identifies 1 Corinthians 4:20 as one of the places where Paul uses “the kingdom of God” in a present sense (the believers’ current state), even though Paul more often uses “kingdom” eschatologically. It also notes that the future, eschatological kingdom will have outward, visible embodiment, yet its core is the same spiritual realities that already characterize the present kingdom.",将林前4:20视为保罗少数把“神的国”用作现实时态（指信徒当下所处的状态）的经文之一，尽管保罗通常以末世性意义使用“神的国”。同时指出：将来的末世性国度会有外在、可见的形态，但其核心仍是现今国度所具有的属灵实质。,1,,test,ok,[194]
1Cor 5:5,gpt-5,v1,1Cor,5,5,5,,要把這樣的人交給撒但，敗壞他的肉體，使他的靈魂在主耶穌的日子可以得救。,"The excerpt cites 1 Cor 5:5 to show that the OT “day of Yahweh” becomes in the NT “the day of the Lord (Jesus),” indicating that Christ himself is the judge at the final, definite judgment coinciding with his parousia. Thus, in 1 Cor 5:5 the “day of the Lord Jesus” refers to the eschatological judgment day, not an ongoing process.",该段以林前5:5为证，说明旧约的“耶和华的日子”在新约中成为“主（耶稣）的日子”，表明基督亲自行使终末审判，并且审判与祂的再临同时发生、为一次明确的事件。因此，林前5:5中的“主耶稣的日子”指末世审判之日，而非持续的过程。,1,,,ok,[190]
1Cor 5:7,gpt-5,v1,1Cor,5,7,7,,你們既是無酵的麵，應當把舊酵除淨，好使你們成為新團；因為我們逾越節的羔羊基督已經被殺獻祭了。,"The excerpt uses 1 Corinthians 5:7 as clear evidence that Paul explicitly presents Christ as the Passover, thereby affirming the sacrificial nature of both the Old Testament type (Passover) and the antitype (Christ). This supports reading Paul’s broader ‘blood of Christ’ language as sacrificial (propitiatory), not merely as indicating a violent death.",该段以林前5:7为明确证据：保罗将基督与逾越节（旧约的型）相比较，明确肯定两者皆具祭祀性质（型与所指的本体）。因此，应将保罗关于“基督之血”的表述理解为祭祀性的（带有赎罪/除罪含义），而非仅仅指一种暴力致死。,1,,,ok,[716]
1Cor 6:1-3,gpt-5,v1,1Cor,6,1,3,,你們中間有彼此相爭的事，怎敢在不義的人面前求審，不在聖徒面前求審呢？,"The excerpt situates 1 Corinthians 6:1-3 in the context of the final judgment: it uniquely affirms that believers will participate in the act of judging itself, not merely reign. Angels’ role in judgment is ministerial, while believers share in the judicial act; the scope includes evil spirits, which explains Paul’s statement that “we will judge angels.” Other throne/reigning texts do not speak of the judgment proper.",该段将林前6:1-3放在末日审判的脉络中：此处独特地表明信徒将实际参与审判本身，而不只是“与基督一同作王”。天使在审判中的作用是服事性的，而信徒则分担司法性的审判；审判范围包括恶灵/堕落天使，这解释了保罗所说“我们要审判天使”。其他论及宝座/作王的经文并非指审判本身。,1,,,ok,[191]
1Cor 6:3,gpt-5,v1,1Cor,6,3,3,,豈不知我們要審判天使嗎？何況今生的事呢？,"The paragraph teaches that 1 Corinthians 6:1–3 uniquely affirms believers will participate in the actual judicial act of the last judgment, unlike other texts where “judging” means reigning. The judgment also includes evil spirits; thus “we will judge angels” refers to judging evil angels. By contrast, angels’ role in judgment is ministerial, not judicial.",本段指出：林前6:1–3独特地教导，信徒将实际参与末日审判的司法行为；其他经文中“审判/审理”多指“与基督一同作王”，而非真正的司法审判。此外，审判也包括恶灵，因此“审判天使”应指审判堕落的天使；天使在审判中的角色是服事性的，并非执掌审判。,1,,,ok,[191]
1Cor 6:11,gpt-5,v1,1Cor,6,11,11,,你們中間也有人從前是這樣；但如今你們奉主耶穌基督的名，並藉着我們神的靈，已經洗淨，成聖，稱義了。,"Vos argues that in 1 Cor 6:11 the Corinthians’ being washed, sanctified, and justified is attributed both to the name of the Lord Jesus and to the Spirit. If “sanctified” (hēgiasthēte) is taken as “consecrated,” the three terms together describe a forensic transaction. Within this judicial sphere the Holy Spirit has a specific role: He is both the seal attesting justification as an accomplished fact and the fruit that presupposes righteousness. The Spirit can be bestowed only on the basis of righteousness, grounded in the exalted Christ, whose resurrection-life in the Spirit is the abiding witness of righteousness for believers.",沃斯指出，林前6:11所说“洗净、成圣、称义”，既归于主耶稣的名，也归于神的灵；若将“成圣”（ἡγιάσθητε）理解为“被奉献/被分别为圣”，则这三步构成一个法庭性质（司法/称义层面）的事务。在此“法理”领域里，圣灵具有特定职分：一方面作为印证，见证称义已成事实；另一方面又作为义的果子，其赐下以“义”为前提。圣灵的赐予建立在基督复活并被高举的现实上——基督在灵里的复活生命，成为为信徒持续作见证的“义”的同在。,1,,,ok,[134]
1Cor 6:20,gpt-5,v1,1Cor,6,20,20,,因為你們是重價買來的。所以要在你們的身子上榮耀神。,"The author treats 1 Cor 6:20 within Paul’s commercial-forensic redemption imagery. Using the verb “to buy” (agorazō), Paul teaches that believers have been purchased by God at great cost, so they now belong to Him. In this verse, the point is ethical and ownership-oriented: because God bought us, He rightly claims our service and obedience—hence, glorify God in your body. The text does not intend to specify to whom any ransom was paid; pressing that question goes beyond Paul’s purpose here.",作者将林前6:20置于保罗“赎买”（商业—法理）意象中：借用“买”这一动词，保罗强调信徒已被神以重价买来，因此属于神。此处重点在伦理与归属：既然神以高昂代价买了我们，祂就有权要求我们的顺服与事奉——所以要在身体上荣耀神。经文并未意在说明赎价付给谁；追问此点超出保罗在此处的用意。,1,,,ok,"[518, 519]"
1Cor 7:26,gpt-5,v1,1Cor,7,26,26,,因現今的艱難，據我看來，人不如守素安常纔好。,"The paragraph links 1 Corinthians 7:26 (“the present distress”) to the Jewish concept of the Messianic woes—birth pangs that precede the new age—and says the NT applies this to Christ’s parousia. Thus, Paul’s counsel is framed by an expectation of imminent tribulation as a precursor to the end.",该段将哥林多前书7:26的“现今的艰难”与犹太传统中的“弥赛亚的产难”（末世来临前的患难）相连，并指出新约把此概念应用到基督的再临。因此，保罗的劝勉是基于对临近末世患难的预期。,1,,,ok,[168]
1Cor 7:31,gpt-5,v1,1Cor,7,31,31,,用世物的，要像不用世物，因為這世界的樣子將要過去了。,"The verse is used to support that the present form of this world is passing away as part of eschatological “regeneration.” This does not teach annihilation of creation but its transformation/renewal. In the consummation, the redeemed dwell centrally in heaven, while a renewed earth remains accessible and part of their inheritance.",此处将林前7:31用作证据，说明“现今世界的样子将要过去”是末世性“更新/再生”的一部分。这并非教导受造界被消灭，而是被更新转化。成全之时，得赎者以天上为主要居所，同时更新后的地仍可进入并成为产业的一部分。,1,,,ok,[195]
1Cor 7:39,gpt-5,v1,1Cor,7,39,39,,丈夫活着的時候，妻子是被約束的；丈夫若死了，妻子就可以自由，隨意再嫁，只是要嫁這在主裏面的人。,"The paragraph cites 1 Corinthians 7:39 as an instance where death is described as “falling asleep.” It argues this “sleep” language is a figurative New Testament usage, especially in Paul, applied to believers. It does not teach soul-unconsciousness: the ‘sleep’ is predicated of the person relative to earthly life, not of the spirit in the intermediate state. Thus, in 7:39 the husband’s “falling asleep” simply means he has died, without implying the dead are unconscious.",该段以林前7:39为“以睡眠表述死亡”的例证。指出新约（尤其保罗）将“睡了”作为比喻性用语，多用于信徒身上，并不意味着灵魂无知觉；“睡了”是指人对现世生活不再有联系，而非灵魂在中间状态中昏睡。因此，林前7:39中丈夫“睡了”即指他已去世，并不暗示死者无意识。,1,,,ok,[196]
1Cor 9:10,gpt-5,v1,1Cor,9,10,10,,不全是為我們說的嗎？分明是為我們說的。因為耕種的當存着指望去耕種；打場的也當存得糧的指望去打場。,"The excerpt uses 1 Corinthians 9:10 as a proof text for a hermeneutical principle: words in Scripture originally addressed to specific people also speak to later audiences, including us. Application is not something added by the interpreter; it flows from God’s Word itself, as Paul exemplifies when he says the command was written “for our sakes.”",该段以林前9:10作为诠释原则的例证：圣经中对特定对象所说的话，也同样对后来的人（包括我们）说。经文的应用不是人为附加，而是从神话语本身流出；保罗在“分明是为我们说的”中示范了这一点。,1,,,ok,"[256, 359]"
1Cor 9:11,gpt-5,v1,1Cor,9,11,11,,我們若把屬靈的種子撒在你們中間，就是從你們收割奉養肉身之物，這還算大事嗎？,"The excerpt uses 1 Corinthians 9:11 as evidence that Paul’s term “spiritual” (pneumatikos) is non‑substantial in meaning. In 9:11, “spiritual things” refers to spiritual benefits/ministries sown among the Corinthians, contrasted with material support, not a different kind of substance. This supports reading “spiritual body” in 1 Corinthians 15 as a body empowered/oriented by the Spirit rather than composed of spirit‑stuff.",该段以林前9:11 证明保罗对“属灵的”（pneumatikos）的用法不是指物质成分。经文中的“属灵的（事物）”指向所撒下的属灵益处/事奉，与“肉身的（物质的）供养”相对，并非某种“灵质”。这支持将林前15的“属灵的身体”理解为受圣灵掌管/赋能的身体，而非由“灵的物质”构成。,1,,,ok,[188]
1Cor 9:27,gpt-5,v1,1Cor,9,27,27,,我是攻克己身，叫身服我，恐怕我傳福音給別人，自己反被棄絕了。,"The passage explains that in 1 Corinthians 9:27 the Greek word adokimos (KJV “castaway,” RV “rejected”) means one who is rejected/disapproved—i.e., not acknowledged or accepted—rather than “unfit.” While adokimos can carry a testing connotation elsewhere, here the emphasis is on the idea of rejection (by God or men).",该段说明林前9:27中的希腊词 adokimos（KJV作“castaway”，RV作“rejected”）意为“被弃绝/不被认可”，强调“被神或人拒绝/不予承认”，而非“无能/不适合”。尽管该词在其他处可带有“经检验而未通过”的含义，但此处重点在“被弃绝”。,1,,,ok,[680]
1Cor 10:4,gpt-5,v1,1Cor,10,4,4,,也都喝了一樣的靈水。所喝的，是出於隨着他們的靈磐石；那磐石就是基督。,"These paragraphs only cite 1 Corinthians 10:4 as a cross-reference to the Exodus “water from the rock” narrative, advocating a Christ-centered reading of OT stories. They provide no direct exposition of the verse itself.",这些段落仅将哥林多前书10:4作为与“磐石出水”的对照经文，强调以基督为中心阅读旧约叙事；并未对该节本身作出具体解经。,0,,,ok,"[253, 356]"
1Cor 10:11,gpt-5,v1,1Cor,10,11,11,,他們遭遇這些事，都要作為鑒戒；並且寫在經上，正是警戒我們這末世的人。,"The paragraph uses 1 Corinthians 10:11 to support inaugurated eschatology: believers already live at the climax of the ages (“the ends of the ages have come” upon them), yet the final consummation (“the last day”) still lies ahead. Thus the church presently participates in eschatological realities without the ultimate completion having arrived.",该段以林前10:11为依据，说明“末世的尽头”已经临到信徒（已然），但最终的“末日”仍在将来（未然）。教会现今已参与末世性的现实，却尚未进入最终成全。,1,,,ok,[159]
1Cor 10:26,gpt-5,v1,1Cor,10,26,26,,因為地和其中所充滿的都屬乎主。,"The excerpt explains that Paul cites “The earth is the Lord’s, and everything in it” in 1 Corinthians 10:26 to support the practical conclusion that Christians may eat meat sold in the marketplace without raising conscience questions. While Psalm 24:1 states God’s ownership of all creation, Paul applies the same text to justify eating such food.",段落指出，保罗在林前10:26引用“地和其中所充满的都属耶和华”，用来支撑一个实际结论：基督徒可以放心吃市上所卖的肉，不必为良心疑问而查问。诗篇24:1强调万物属主，而保罗将同一经文应用于饮食/买卖情境以证明可食用。,1,,,ok,"[286, 389]"
1Cor 11:7,gpt-5,v1,1Cor,11,7,7,,男人本不該蒙着頭，因為他是神的形像和榮耀；但女人是男人的榮耀。,The excerpt is about 1 Corinthians 15 and only references 1 Corinthians 11:7 in passing to note Paul’s rejection of Philo’s two-creation reading of Genesis. It does not actually explain or comment on 1 Corinthians 11:7 itself.,该段主要讨论林前15章，只是顺带提到林前11:7，用以表明保罗并未采纳斐洛的“两次创造”解读；并未对11:7本身作出解释。,0,,,ok,[188]
1Cor 11:24,gpt-5,v1,1Cor,11,24,24,,祝謝了，就擘開，說：「這是我的身體，為你們捨〔有古卷作：擘開〕的，你們應當如此行，為的是記念我。」,"The phrase in 1 Cor 11:24, “This is my body for you” (huper humon), signals sacrificial surrender on behalf of believers. Thus Paul understands the Supper not merely as a rite of covenant fellowship but as an atoning rite that introduces into the new covenant because it atones. Together with “the new covenant in my blood” (v.25) and Passover imagery (1 Cor 5:7), Christ’s death is presented as removing the guilt of sin (objective) and grounding believers’ purity (subjective).",林前11:24中的“这是我的身体，为你们（ὑπὲρ ὑμῶν）”表明基督为信徒所献的牺牲性舍命。因此，保罗将主餐理解为不但引入新约团契，更首先是赎罪的礼仪；正因赎罪，才引入新约。配合“这杯是用我血所立的新约”（11:25）与逾越节意象（林前5:7），基督之死既除去罪咎（客观层面），也成为信徒圣洁生活的根基（主观层面）。,1,,,ok,[721]
1Cor 11:25,gpt-5,v1,1Cor,11,25,25,,飯後，也照樣拿起杯來，說：「這杯是用我的血所立的新約，你們每逢喝的時候，要如此行，為的是記念我。」,"The passage treats 1 Cor 11:25 as presenting Christ’s blood as sacrificial blood that inaugurates the new covenant, in conscious contrast to the Sinai covenant ratified with sacrificial blood. This shows Paul associates Christ’s blood with sacrificial propitiation, not merely with a violent death, and accords with his emphasis on Christ’s voluntary, obedient self-offering.",本文将林前11:25理解为：基督的血是立新约的“祭血”，与西奈之约用祭牲之血立约相对照；这表明保罗把基督之血与赎罪性的祭祀联系在一起，而不仅是暴力死亡的记号，也符合他强调基督自愿顺服地献上自己的死亡。,1,,,ok,[716]
1Cor 11:26,gpt-5,v1,1Cor,11,26,26,,你們每逢吃這餅，喝這杯，是表明主的死，直等到他來。,"The passage uses 1 Cor 11:26 to argue that the Lord’s Supper (and the New Covenant it signifies) belongs to the present, pre-eschatological period: it is a proclamation of Christ’s death until He returns. Thus the Supper/Covenant emphasizes present blessings (forgiveness and fellowship) rather than the consummated Kingdom, is distinct from the final Kingdom meal, and is grounded in Christ’s expiatory death, received through partaking of His body and blood. It cautions against importing a testamentary sense into Jesus’ Supper words and maintains a Kingdom–Covenant distinction.",该段以林前11:26论证：主的晚餐（及其所表明的新约）属于现今的末世前阶段；教会在“直到他来”之前通过圣餐宣告基督之死。因此，圣餐/新约侧重当下的祝福（赦罪与与神相交），有别于将来的国度盛宴，并且以基督的代赎之死为基础，通过领受祂的身体和宝血而得。作者并提醒不要把“遗嘱”之意读入主设立圣餐的话，并保持国度与约的区分。,1,,,ok,[71]
1Cor 11:30,gpt-5,v1,1Cor,11,30,30,,因此，在你們中間有好些軟弱的與患病的，死〔原文作睡〕的也不少。,"The paragraph uses 1 Cor 11:30’s term “sleep” to support the idea that death is an intermediate state before resurrection. Paul regards this disembodied state (“nakedness” of the soul) as relatively undesirable, yet it can still involve blessed fellowship with Christ. The author also distinguishes the intermediate state from final punishment (Gehenna) and discusses Hades as the realm/state of the dead, though that extends beyond this verse’s immediate context.",本段以林前11:30中“睡了”的用语，来论证死亡是复活前的“中间状态”。保罗视此为相对不理想，因为涉及灵魂“赤身”（无身体）之状；然而这并不排除与基督相交/同在的可观福分。作者也区分中间状态与最终的刑罚（“地狱”Gehenna），并讨论“阴间/哈得斯”（Hades）作为死者之境/状态，但此部分超出该节的直接语境。,1,,,ok,[198]
1Cor 12:4,gpt-5,v1,1Cor,12,4,4,,恩賜原有分別，聖靈卻是一位。,"The excerpt briefly appeals to 1 Corinthians 12:4 to support the idea that God distributes diverse gifts. It applies this to biblical interpretation: different people may be gifted to interpret different genres of Scripture (history, prophecy, poetry, parable, apocalypse), so not everyone has the same interpretive gifts.",该段简要引用林前12:4强调“恩赐有分别”。并将此原则应用于释经：不同的人可能在不同经文体裁（历史、预言、诗歌、比喻、启示文学）的解读上各有恩赐，因此并非人人在各体裁上都有同样的解经恩赐。,1,,,ok,"[312, 415]"
1Cor 15:8,gpt-5,v1,1Cor,15,8,8,,末了也顯給我看；我如同未到產期而生的人一般。,"The paragraph briefly cites 1 Corinthians 15:8 among texts used to argue against the idea that the dead are unconscious in the intermediate state. Within a broader claim that “sleep” is a figurative term describing the dead’s lack of relation to earthly life (not soul-unconsciousness), the verse is proof-texted as part of evidence for continued consciousness after death.",该段将林前15:8列入反对“死人在中间状态中无意识”的经文之一。作者主张“睡了”是比喻性说法，表示死者对现世的隔绝，而非灵魂无意识；林前15:8在此被作为支持死者仍有意识之见的证据之一。,1,,,ok,[196]
1Cor 15:10,gpt-5,v1,1Cor,15,10,10,,然而，我今日成了何等人，是蒙神的恩纔成的，並且他所賜我的恩不是徒然的。我比眾使徒格外勞苦；這原不是我，乃是神的恩與我同在。,"The excerpt uses 1 Corinthians 15:10 as a harmony text to affirm that Scripture does not teach meritorious good works. In line with Matthew 10:41 and Luke 17:10, it implies that Paul’s labor was due to God’s grace, not personal merit, so there is no contradiction among these passages.",本文将林前15:10作为经文和谐的依据，强调圣经并不教导善行能赚取功德。与太10:41、路17:10一致，林前15:10所表明的是：保罗的劳苦乃出于神的恩典，而非人的功劳，因此这些经文之间并无矛盾。,1,,,ok,"[302, 405]"
