ref,book_osis,chapter,verse_start,verse_end,kjv_text,cuvs_text,has_commentary,summary_en,summary_zh,bullet_points_en,bullet_points_zh,sources,evidence,model,prompt_version,created_at,status,error,keep_drop,my_edit_en,my_edit_zh,notes
  pcred | https://www.biblicaltheology.org/pcred.pdf,,,,,,,,,,,,,,,,,,,,,,
  “The Pauline Conception of Redemption” The Bible Student 5:51-58. [1902] In a previous number of The Bible Student we examined the Pauline conception of reconciliation, which we found to belong to the military sphere, its result being conceived by the apostle as peace. The conception now before us belongs to the commercial sphere. Of course, underneath both lies the more fundamental forensic mode of viewing the work of Christ," which corresponds to the Pauline idea of righteousness. It will be mo …""",gpt-5,v1,2025-12-16T06:04:57-05:00,ok,,,,,,,,,,,,,in zh,
1Cor 2:4,1Cor,2,4,4,,我說的話、講的道，不是用智慧委婉的言語，乃是用聖靈和大能的明證，,1,"The excerpt uses 1 Corinthians 2:4 to show that the Holy Spirit is the agent who represents and demonstrates God’s power. Paul’s preaching was marked not by human eloquence but by the Spirit’s power, illustrating divine omnipotence manifested through the Spirit.",摘录以哥林多前书2:4说明：圣灵是执行并彰显神能力的位格。保罗的讲道不是靠人的智慧或口才，而是靠圣灵与能力的明证，体现了神全能借圣灵的作为而显明。,"[""The Holy Spirit, as a distinct person and executive of the Godhead, represents divine power."", ""1 Cor 2:4 is cited as evidence that apostolic preaching operated in the demonstration of the Spirit and power, not human eloquence."", ""This use supports the doctrine of God’s omnipotence manifested through the Spirit’s work.""]","[""圣灵作为神格中独立的位格与执行者，代表神的能力。"", ""哥前2:4证明使徒的宣讲是以圣灵和能力的明证，而非人的口才与智慧。"", ""这应用支持神的全能是借圣灵的工作得以彰显。""]",omnipotence — https://www.biblicaltheology.org/omnipotence.pdf,"- para_id=441, p_index=2: Explicitly lists 1 Cor 2:4 to argue that the Spirit represents and manifests divine power, aligning Paul’s preaching with God’s omnipotence.",,,,,,,,,
  omnipotence | https://www.biblicaltheology.org/omnipotence.pdf,,,,,,,,,,,,,,,,,,,,,,
  impotent idols (1 Samuel 17:26, 36; 2 Kings 19:4, 16; Psalm 18:46; Jeremiah 23:36; Daniel 6:20, 26). An anthropomorphic description of the power of God is in the figures of “hand,” His “arm,"” His “finger.” See “God.” 3. Other Modes of Expression: Some of the attributes of Yahweh have an intimate connection with His omnipotence. Under this head especially God’s nature as Spirit and His holiness come under consideration. The representation of God as Spirit in the Old Testament does not primarily r …""",gpt-5,v1,2025-12-16T06:05:24-05:00,ok,,,,,,,,,,,,,
1Cor 2:6,1Cor,2,6,6,,然而，在完全的人中，我們也講智慧。但不是這世上的智慧，也不是這世上有權有位、將要敗亡之人的智慧。,1,"The paragraph uses 1 Cor 2:6 (“among the perfect/mature”) to argue that Paul’s gospel has a distinctly theological, cognitive character for all believers, even though he does articulate a deeper “wisdom” for the mature. Terms like gnosis/epignosis can denote advanced understanding for the mature, yet they also describe the common knowledge of the gospel. Paul teaches with ordered method and views the gospel as objective truth requiring enlightened understanding; this unified knowledge centers on God and Christ. Thus, 1 Cor 2:6 does not imply an esoteric, separate theology for an elite, but a deeper level within the same coherent system.",本段以林前2:6中“在完全（成熟）的人中讲智慧”为依据，指出保罗的信息本质上具有神学性与认知性：虽对“成熟的人”有更深的“智慧”，但同样的真理体系也临到所有信徒。诸如“知识/真知识”（gnosis/epignosis）既可指成熟者更深的认识，也可指普遍的福音认知。保罗按有次序的方法教导，把福音视为要求心智顺服的客观真理，且其统一性以神与基督为中心。因此，林前2:6并非支持某种仅供精英的秘传神学，而是同一连贯体系中之更深层次。,"[""“The perfect/mature” in 1 Cor 2:6 refers to mature believers who receive deeper wisdom."", ""Paul’s theology is inherently cognitive and systematic, not merely practical, and applies to all believers."", ""Gnosis/epignosis sometimes denotes deeper insight for the mature but also the common grasp of the gospel."", ""Paul followed an ordered method of instruction and treated the gospel as objective truth demanding intellectual obedience."", ""This unified knowledge centers on God and Christ, not a separate esoteric tier.""]","[""林前2:6的“完全（成熟）的人”指成熟的信徒，他们得着更深的智慧。"", ""保罗的神学本质上具认知性与系统性，不仅是实践性的，并且适用于所有信徒。"", ""“知识/真知识”（gnosis/epignosis）既可指成熟者更深的认识，也指普遍的福音认知。"", ""保罗按有次序的方法教导，将福音视为要求理性顺服的客观真理。"", ""这一认识的统一性以神与基督为中心，并非另立一套秘传层级。""]",tp — https://www.biblicaltheology.org/tp.pdf,"- para_id=725, p_index=3: Explicit mention of “the perfect” in 1 Cor 2:6 and use of the verse to argue that Paul’s ‘wisdom’ for the mature is a deeper level within the same cognitive, systematic gospel taught to all believers.",,,,,,,,,
  tp | https://www.biblicaltheology.org/tp.pdf,,,,,,,,,,,,,,,,,,,,,,
  antagonism of the will and of the affections. As a psychological explanation of the conversion it appears extremely implausible. But the mere fact that such a theory could be in all seriousness proposed and worked out with a degree of verisimilitude shows how potent a force the theologizing habit must have been in Paul’s mental make-up. It is well to remember this, because at the present day, the opposite tendency, which sees in the apostle not primarily the man of the intellect," but the man of …""",gpt-5,v1,2025-12-16T06:06:04-05:00,ok,,,,,,,,,,,,,,
1Cor 2:8,1Cor,2,8,8,,這智慧世上有權有位的人沒有一個知道的、他們若知道，就不把榮耀的主釘在十字架上了。,1,"The author briefly uses 1 Cor 2:8–9 to argue that Paul seems to include superhuman spiritual powers among those involved in Christ’s crucifixion. These “rulers” function as adversaries of God and Christ, not as God’s agents executing the law’s curse. Therefore, 1 Cor 2:8 does not support the idea that angels mediated the curse of the law (and should not be combined with Gal 3:13,19 to make that case).",作者简要指出，林前2:8–9显示保罗似乎认为有超自然的属灵权势参与了对基督的钉十字架；这些“有权有位的”是神与基督的对头，而非代表神执行律法咒诅的使者。因此，林前2:8不能用来支持“天使为律法咒诅的中介”，也不应与加3:13、19结合来论证这一点。,"[""1 Cor 2:8–9 suggests superhuman spirits were involved in Christ’s crucifixion."", ""These powers are adversaries of God and Christ, not divine agents of the law’s curse."", ""Thus the verse cannot support an angel-mediated curse view and should not be combined with Gal 3:13,19 for that claim.""]","[""林前2:8–9暗示有超自然权势参与钉死基督。"", ""这些权势是神与基督的敌对者，并非执行律法咒诅的神之代理。"", ""因此该节不能支持“天使中介咒诅”的观点，亦不应与加3:13、19合并来证明此说。""]",pcred — https://www.biblicaltheology.org/pcred.pdf,"- para_id=520, p_index=3: Explicitly states that in 1 Cor 2:8–9 Paul seems to teach superhuman spirits were involved in the crucifixion as adversaries of God, not as His agents; used to rebut connecting this with Gal 3:13,19.",,,,,,,,,
  pcred | https://www.biblicaltheology.org/pcred.pdf,,,,,,,,,,,,,,,,,,,,,,
  qualify the statement, but because he wished to strengthen and generalize it, did he choose the noun instead of the adjective.4 Moreover, the quotation from Deuteronomy proves that he was ready to apply the adjective to Christ. Ritschl has attempted in yet a different way to relieve the harshness of the expression. He thinks Paul distinguished between the curse of the law and the curse of God, and appeals to verse 19 in proof of this distinction. But," although the law is here said to have been o …""",gpt-5,v1,2025-12-16T06:06:38-05:00,ok,,,,,,,,,,,,,
1Cor 2:12,1Cor,2,12,12,,我們所領受的，並不是世上的靈，乃是從神來的靈，叫我們能知道神開恩賜給我們的事。,1,"Paul’s contrast between “the spirit of the world” and “the Spirit from God” shows that the Spirit is not only the agent of revelation but the determinative power of the new, eschatological order; only those who already share in this future-age life by the Spirit can know the gracious gifts God has given. The “spirit of the world” may denote a real transcendent influence governing the psychical (natural) man and possibly linked with the rulers of this age. Parallel texts (2 Cor 4:4; Eph 2:2) suggest a counter‑spirit that blinds unbelievers, reinforcing the eschatological opposition inherent in 1 Cor 2:12.",保罗在1林2:12中将“世上的灵”与“从神来的灵”相对，表明圣灵不仅是启示的媒介，更是新末世秩序的决定性原则；惟有在圣灵里已分得“将来之世”生命的人，才能认识神白白赐给我们的事。“世上的灵”可能指一种超越性的影响，治理“属魂的人”，并或与“今世的执政者”有关。平行经文（林后4:4；弗2:2）显示一种对抗的“灵”使不信者心眼昏瞎，从而加强了1林2:12中两种灵之间的末世性对立。,"[""Spirit vs. world-spirit marks two eschatological orders (present age vs. age to come)."", ""The Spirit is both source of revelation and the determining principle of the new order, enabling believers to know God’s gracious gifts."", ""The world’s spirit governs the psychical (natural) man and may be connected with the rulers of this age (1 Cor 2:6)."", ""Paul’s spiritual/psychical/sarkic distinctions show the Christian state belongs to a different order of existence."", ""Parallels: 2 Cor 4:4 and Eph 2:2 depict a counter-spirit that blinds, corroborating the antithesis in 1 Cor 2:12.""]","[""“神的灵”与“世上的灵”的对立标志今世与将来之世两种秩序的冲突。"", ""圣灵既是启示的源头，也是新秩序的决定性原则，使人认识神白白赐下的恩典。"", ""“世上的灵”治理“属魂的人”，可能与“今世的执政者”（1林2:6）相关。"", ""“属灵/属魂/属肉体”的区分显示基督徒的状态属于不同的存在层次。"", ""平行经文：林后4:4、弗2:2呈现使人蒙蔽的“对抗之灵”，呼应1林2:12的对立。""]",eapcs — https://www.biblicaltheology.org/eapcs.pdf,"- para_id=141, p_index=25: Explicitly treats 1 Cor 2:12’s contrast of the Spirit from God vs. the spirit of the world, linking it to eschatological order and possible connection to the rulers of this age.",,,,,,,,,
  eapcs | https://www.biblicaltheology.org/eapcs.pdf,,,,,,,,,,,,,,,,,,,,,,
  recipient of revelation, but for the further and more specific reason, that he already partakes of that which is the distinctive quality of the future life, can he be initiated into the mysteries of the latter. The Spirit is the source of the eschatological musthrion both in the sphere of being and in the sphere of revelation. Hence also in verse 11 Paul draws a formal distinction between the pneuma of the kosmoj and the pneuma to ek tou qeou, which once more shows that the Spirit is considered …,,,,,,,,,,,,,,,,,,
#NAME?, p_index=26: Connects 1 Cor 2:12 with 2 Cor 4:4 and Eph 2:2, explaining the counter-spirit motif and why Paul often frames the antithesis as Christ vs. Satan.,,,,,,,,,,,,,,,,,,,,
  eapcs | https://www.biblicaltheology.org/eapcs.pdf,,,,,,,,,,,,,,,,,,,,,,
  of believers, enabling them to behold the glory of Christ in the gospel, so the false god of the present age has a counter-spirit at work (or is a counter-spirit)," which blinds the minds of the unbelieving that the light of the gospel of the glory of Christ should not dawn upon them. Here both the conception of doxa as the content of the gospel and the parallelism between the first and the second creation in verse 6 impart an unmistakable eschatological flavor to the comparison. Where the though …""",gpt-5,v1,2025-12-16T06:08:03-05:00,ok,,,,,,,,,,,,,,,
1Cor 2:14,1Cor,2,14,14,,然而，屬血氣的人不領會神聖靈的事，反倒以為愚拙，並且不能知道，因為這些事惟有屬靈的人纔能看透。,1,"The verse is used to argue that the unspiritual (natural) person cannot grasp the things of the Spirit; therefore regeneration by the Holy Spirit is necessary to understand and rightly interpret Scripture. Because sinful humans resist God’s Word, they tend to distort it to fit their own systems (e.g., Pharisees on works-righteousness; Sadducees denying the resurrection). Scripture is God’s self-revelation, so we must not place other authorities alongside or above it, nor spiritualize/rationalize texts to suit ourselves.",该节被用来说明：属血气的人不能领会圣灵的事，因此正确理解与诠释圣经需要圣灵的重生/更新。因人的罪性抗拒神的话，容易把经文扭曲以配合人的体系（如法利赛人以行为称义、撒都该人否认复活）。圣经是神的自我启示，不可把其他权威与圣经并列或高于圣经，也不可随意属灵化或理性化经文以迎合自己。,"[""1 Cor 2:14 teaches the natural person cannot grasp spiritual truth; regeneration is needed to interpret Scripture rightly."", ""Sinful humanity resists God’s Word and tends to impose its own system on Scripture (Pharisees; Sadducees)."", ""Scripture is God’s self-revelation; without the Spirit people love darkness and do not understand (John 3:19, etc.)."", ""Avoid placing other sources above/alongside Scripture and avoid spiritualizing/rationalizing texts to fit preferences.""]","[""林前2:14指出属血气的人不能领会圣灵的事；正确解经需要圣灵的重生/开启。"", ""罪人倾向抗拒神的话，把自己的体系强加于经文（如法利赛人的行为称义、撒都该人否认复活）。"", ""圣经是神的自我启示；若无圣灵，人爱黑暗而不明白（约3:19等）。"", ""不可把其他权威与圣经并列或高于圣经，也不可随意属灵化或理性化经文以迎合自己。""]",InterpretingTheBible--Revision2 — https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,"- para_id=239, p_index=18: Explicitly cites 1 Cor 2:14 to assert regeneration is necessary for proper interpretation; warns against spiritualizing/rationalizing; gives Pharisees/Sadducees as examples.",,,,,,,,,
  InterpretingTheBible--Revision2 | https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,,,,,,,,,,,,,,,,,,,,,,
  a. This rule is developed from the first one. Sinful man is inclined to disagree with the Word of God. 1 Corinthians 2:14 teaches that regeneration is necessary to properly interpret the Scripture. The unspiritual man does not grasp the things of the Spirit. The dangers of giving one's own interpretation can be seen in Scripture with the Pharisees and their understanding works of the law as a means to obtain righteousness with God. Another example is seen with the Sadducees and their rejection o …,,,,,,,,,,,,,,,,,,,,,,
#NAME?, p_index=45: Links 1 Cor 2:14 with the claim that apart from regenerating work people do not understand the things of the Spirit; affirms Scripture as God’s revelation and warns against rival authorities.,,,,,,,,,,,,,,,,,,,,,
  InterpretingTheBible--Revision2 | https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,,,,,,,,,,,,,,,,,,,,,,
  b. The Holy Scripture is the revelation of the Word of God. Apart from God's regenerating work, human minds are sinful and do not understand the things of the Spirit, 1 Corinthians 2:14," 4:18. """"This is the verdict: Light has come into the world"," but men loved darkness instead of light because their deeds were evil."""" (John 3:19", cf. 7:17, 8:31-32, 18:37, 5:40). Placing other sources beside or above Scripture is in conflict with what Scripture says about itself as the self-revelation of God.,,,,,,,,,,,,,,
#NAME?, p_index=18: Duplicate content reinforcing the 1 Cor 2:14 regeneration-for-interpretation point and hermeneutical cautions.,,,,,,,,,,,,,,,,,,,,,
  InterpretingTheBible--Revision2 | https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,,,,,,,,,,,,,,,,,,,,,,
  a. This rule is developed from the first one. Sinful man is inclined to disagree with the Word of God. 1 Corinthians 2:14 teaches that regeneration is necessary to properly interpret the Scripture. The unspiritual man does not grasp the things of the Spirit. The dangers of giving one's own interpretation can be seen in Scripture with the Pharisees and their understanding works of the law as a means to obtain righteousness with God. Another example is seen with the Sadducees and their rejection o …,,,,,,,,,,,,,,,,,,,,,,
#NAME?, p_index=45: Reiterates that without regeneration people do not understand spiritual things (1 Cor 2:14) and emphasizes Scripture’s supreme authority.,,,,,,,,,,,,,,,,,,,,,
  InterpretingTheBible--Revision2 | https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,,,,,,,,,,,,,,,,,,,,,,
  b. The Holy Scripture is the revelation of the Word of God. Apart from God's regenerating work, human minds are sinful and do not understand the things of the Spirit, 1 Corinthians 2:14," 4:18. """"This is the verdict: Light has come into the world"," but men loved darkness instead of light because their deeds were evil."""" (John 3:19", cf. 7:17, 8:31-32, 18:37," 5:40). Placing other sources beside or above Scripture is in conflict with what Scripture says about itself as the self-revelation of God.""",gpt-5,v1,2025-12-16T06:08:40-05:00,ok,,,,,,,,,,
1Cor 3:8,1Cor,3,8,8,,栽種的和澆灌的，都是一樣，但將來各人要照自己的工夫得自己的賞賜。,1,"The excerpt uses 1 Corinthians 3:8 (with 3:14) to support that, at the last judgment, believers’ works will be evaluated and will serve as the measure of gracious reward—“each will receive his own reward according to his own labor.” This reward principle does not contradict justification; the judgment is public and concerns works as the outworking of faith. Such rewards are not computed mechanically or commercially; Paul views “work” organically, rooted in faith, and some works may be disapproved while salvation remains (cf. 3:15).",本文以林前3:8（并及3:14）说明：在末日的审判中，信徒的行为要被审查，并作为恩典性赏赐的尺度——“各人要照自己的工夫得自己的赏赐。”这并不否定因信称义；末日审判具有公开性，所审的是信心所结出的“工作”。这种赏赐并非机械或交易式的计算；保罗将“工作”视为出自信心的有机整体，即使有些工作受责难，仍可能不致失落救恩（参3:15）。,"[""1 Corinthians 3:8 teaches that believers receive reward proportionate to their labor; works function as the measure of gracious reward."", ""This evaluation occurs at the public last judgment and does not negate justification."", ""Rewards are not mechanically or commercially calculated; Paul treats “work” as an organic whole."", ""The believer’s “work” is rooted in faith; some works may be disapproved while salvation remains (cf. 3:15).""]","[""林前3:8表明信徒要按自己的劳苦得赏赐；行为成为恩典性赏赐的尺度。"", ""这种评估发生在公开的末日审判中，并不否定称义。"", ""赏赐并非机械或交易式计算；保罗将“工作”视为有机整体。"", ""信徒的“工作”根源于信心；有的工作或被否定，但救恩仍可保全（参3:15）。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=191, p_index=35: Cites 1 Cor 3:8 explicitly to argue that believers’ works measure gracious reward at the last judgment; adds that rewards are not mechanically appraised and that “work” is rooted in faith.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39)," which culminates in His pas …""",gpt-5,v1,2025-12-16T06:09:12-05:00,ok,,,,,,,,
1Cor 3:13,1Cor,3,13,13,,各人的工程必然顯露，因為那日子要將他表明出來，有火發現；這火要試驗各人的工程怎樣。,1,"The paragraph uses 1 Corinthians 3:13 to support Paul’s teaching that the last judgment is a public manifestation: every person’s work will be revealed and tested. Even believers’ works will be examined—there can be disapproval of works yet salvation (cf. 3:15)—and works serve as the measure of gracious reward (cf. 3:8, 14). Paul’s use of “work” in the singular (including 3:13) stresses an organic whole of life rather than a mechanical tally of deeds. The public testing of works serves the vindication of God’s righteousness.","该段以林前3:13说明：末日审判具有公开性——各人的工程都要显露并受火试验。即便信徒的工程也要受审查；工程可能被否定，但人仍得救（参3:15）；而工程也成为恩典赏赐的尺度（参3:8,14）。保罗在多处（含林前3:13）以“工程/工作”用单数，强调生命整体性的“工程”，而非机械计分。公开试验工程旨在彰显并维护神的公义。","[""1 Cor 3:13 teaches the public revelation and testing of each person’s work at the last judgment."", ""Believers’ works are examined; some works may be rejected yet the person saved (3:15)."", ""Works function as the measure of gracious reward (3:8, 14)."", ""Paul’s singular “work” (including in 3:13) highlights an organic whole of life, not a mechanical tally."", ""The public trial of works serves God’s vindication and a true theodicy.""]","[""林前3:13强调末日审判的公开性：各人的工程要显露并受试验。"", ""信徒的工程也要受审；工程可被否定而人仍得救（3:15）。"", ""工程是恩典赏赐的尺度（3:8,14）。"", ""保罗以“工程”单数（含3:13）强调生命的有机整体，而非机械累积分数。"", ""公开试验工程旨在为神作辩护，彰显他的公义。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=191, p_index=35: Explicitly cites 1 Cor 3:13 to argue for the public nature of final judgment; relates 3:15 to disapproved works yet salvation; 3:8,14 to reward; notes singular “work” usage including 3:13.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39)," which culminates in His pas …""",gpt-5,v1,2025-12-16T06:09:55-05:00,ok,,,,,,,,
1Cor 3:15,1Cor,3,15,15,,人的工程若被燒了，他就要受虧損，自己卻要得救；雖然得救，乃像從火裏經過的一樣。,1,"Affirms that at the public last judgment believers’ works will be tested. Even if a believer’s works are disapproved and burned, the person is still saved (1 Cor 3:15). The judgment of works serves God’s public vindication and demonstrates the defeat of sin and the reality of righteousness (faith, works, sanctification). Works also function as the measure of gracious reward (cf. 1 Cor 3:8,14), and are viewed organically, rooted in faith.","指出末日审判是公开的，对信徒的行为也要试验。即使信徒的“工程被烧”，人仍得救（林前3:15）。审判工作的目的在于为神作公开的申冤，显明罪被废除与生命中之义（包括信心、在基督里所行的工、成圣）。工作也是恩典赏赐的尺度（参林前3:8,14），并被视为出于信心的有机整体，而非机械记账。","[""The last judgment is public and includes believers’ works."", ""Justification does not nullify the need for a public judgment."", ""Believers may have works disapproved and burned yet still be saved (1 Cor 3:15)."", ""The testing of works vindicates God and displays the overthrow of sin and the reality of righteousness (faith, works, sanctification)."", ""Works serve as the measure for gracious reward (cf. 1 Cor 3:8,14)."", ""Paul treats “work” organically, rooted in faith, not mechanically.""]","[""末日审判是公开的，也审查信徒的行为。"", ""称义并不使公开的审判变得多余。"", ""信徒可能“工程被烧”而受亏损，但人仍得救（林前3:15）。"", ""试验工作的目的在于为神作公开的辩证，显明罪被废除与生命中之义（信心、工作、成圣）。"", ""工作成为恩典性赏赐的尺度（参林前3:8,14）。"", ""保罗把“工作”视为出于信心的有机整体，而非机械核算。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=191, p_index=35: Explicitly cites 1 Cor 3:15 to argue that believers’ works can be disapproved yet they themselves are saved; connects this to the public nature of the last judgment and to rewards (1 Cor 3:8,14).",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39)," which culminates in His pas …""",gpt-5,v1,2025-12-16T06:10:32-05:00,ok,,,,,,,,
